Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range
211121_M1_L1_E005,211121_M1_L1,237.5,Pressure,30,60,30,0.625,weak,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-61
211121_M1_L2_E001,211121_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60
211121_M1_L2_E002,211121_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60
211121_M1_L2_E003,211121_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60
211121_M1_L2_E004,211121_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60
211121_M1_L2_E005,211121_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60
211121_M1_L3_E001,211121_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60
211121_M1_L3_E002,211121_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60
211121_M1_L3_E003,211121_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60
211121_M1_L3_E004,211121_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60
211121_M1_L3_E005,211121_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-60
020222_M1_L1_E001,020222_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60
020222_M1_L1_E002,020222_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60
020222_M1_L1_E003,020222_M1_L1,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60
020222_M1_L1_E004,020222_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60
020222_M1_L1_E005,020222_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,25-60
